近世経済データベース（2018年3月1日）,,,,,,,,,,,,,,,
和暦,西暦,月日,天気,経済的事象,自然災害・災害など,騒動,金相場最小値,金相場最高値,金相場メモ,銭相場最小値,銭相場最高値,銭相場メモ,米相場,米相場メモ,備考
文化11年,1814年,2月3日,天気,,,,64.31,64.33,,9.12,9.14,,71.2,肥後米,
文化11年,1814年,2月4日,天気,,,,64.35,64.36,,9.13,9.14,,70.5,肥後米,
文化11年,1814年,2月5日,天気,,,,64.38,64.4,,9.12,9.14,,70.9,肥後米,
文化11年,1814年,2月6日,昨夜中より雨、今昼後より晴,,,,64.42,64.43,,9.13,9.14,,71.1,肥後米,
文化11年,1814年,2月7日,,,,,64.37,64.38,,9.13,9.14,,70.8,肥後米,
文化11年,1814年,2月8日,天気、八時より雨,,,,64.35,64.4,,9.13,9.14,,,「休日」,
文化11年,1814年,2月9日,雨天,,,,64.38,64.4,,9.13,9.15,,71.8,肥後米,
文化11年,1814年,2月10日,天気,,,,64.35,64.4,,9.12,9.14,,71.6,肥後米,
文化11年,1814年,2月11日,曇天、暮時より小雨,,,,64.38,64.4,,9.12,9.14,,70.5,肥後米,
文化11年,1814年,2月12日,曇天、暮時小雨,,,,64.4,64.43,,9.13,9.14,,71.3,肥後米,
文化11年,1814年,2月13日,曇、折々小雨,,,,64.42,64.44,,9.12,9.14,,71.2,肥後米,
文化11年,1814年,2月14日,天気,,,,64.45,64.46,,9.13,9.14,,71,肥後米,
文化11年,1814年,2月15日,,,,,64.45,64.5,,9.12,9.14,,,「休日」,
文化11年,1814年,2月16日,,,,,64.48,64.5,,9.12,9.14,,,肥後米／「月並休日」,
文化11年,1814年,2月17日,曇、七時より雨,,,,64.55,64.56,,9.13,9.14,,,「筑後米切手に付候而故障の儀これある由に而浜方立会不申」,
文化11年,1814年,2月18日,天気,,,,64.6,64.63,,9.17,9.18,,,「今日も立会不申候」,
文化11年,1814年,2月19日,天気,,,,64.6,64.63,,9.17,9.18,,,「今日も立会不申候」,
文化11年,1814年,2月20日,晴天,,,,64.58,64.6,,9.2,9.23,,,「今日も立会不申候」,
文化11年,1814年,2月21日,快晴,,,,64.58,64.6,,9.18,9.2,,,「今日も立会不申候」,
文化11年,1814年,2月22日,曇天、八時より雨,,,,64.6,64.63,,9.18,9.2,,,「今日も立会不申候」,
文化11年,1814年,2月23日,快晴,,,,64.58,64.6,,9.2,9.22,,71.2,肥後米,
文化11年,1814年,2月24日,天気,,,,64.6,64.65,,9.2,9.22,,70.2,肥後米,
文化11年,1814年,2月25日,天気,,,,64.6,64.65,,9.18,9.2,,70.5,肥後米,
文化11年,1814年,2月26日,曇天、暮時より小雨,,,,64.6,64.65,,9.18,9.2,,,肥後米／「休日」,
文化11年,1814年,2月27日,晴曇,,,,64.5,64.7,,9.18,9.2,,,肥後米／「節前昨日限」,
文化11年,1814年,2月28日,天気,,,,64.58,64.6,,9.18,9.2,,,,
文化11年,1814年,2月29日,,,,,64.51,64.52,,9.15,9.17,,,,
文化11年,1814年,3月1日,曇天、暮時より雨,,,,64.4,64.6,,9.23,9.24,,,,
文化11年,1814年,3月2日,天気、折々曇,,,,64.52,64.53,,9.14,9.16,,,,
文化11年,1814年,3月3日,曇天、昼半時より快晴,,,,,,,,,,,,「諸相庭休日」
文化11年,1814年,3月4日,雨天,,,,64.54,64.55,,9.1,9.12,,,「休」,
文化11年,1814年,3月5日,快晴,,,,64.58,64.6,,9.1,9.12,,,「立会不申」,
文化11年,1814年,3月6日,天気,,,,64.62,64.63,,9.1,9.12,,,肥後米／「今日も立会不申」,
文化11年,1814年,3月7日,天気,,,,64.58,64.6,,9.1,9.13,,,肥後米／「今日も立会不申」,
文化11年,1814年,3月8日,天気,,,,64.58,64.6,,9.12,9.13,,71.2,肥後米,
文化11年,1814年,3月9日,天気,,,,64.58,64.6,,9.13,9.15,,71.2,肥後米,
文化11年,1814年,3月10日,天気、七時より雨,,,,64.6,,,9.14,9.15,,69.8,肥後米,
文化11年,1814年,3月11日,,,,,64.6,,,9.14,9.15,,69.6,肥後米,
文化11年,1814年,3月12日,雨天、朝五つ前頃雷鳴,,,,64.6,,,9.14,9.15,,71,肥後米,
文化11年,1814年,3月13日,天気,,,,64.6,,,9.14,9.15,,71,肥後米,
文化11年,1814年,3月14日,天気,,,,64.6,64.7,,9.13,9.15,,71.2,肥後米,
文化11年,1814年,3月15日,天気,,,,64.68,64.7,,9.13,9.15,,71.2,肥後米,
文化11年,1814年,3月16日,曇、折々小雨,,,,64.75,64.76,,9.14,9.15,,,肥後米／「休日」,
文化11年,1814年,3月17日,曇、折々小雨,,,,64.7,64.9,,9.14,9.15,,71.5,肥後米,
文化11年,1814年,3月18日,雨天,,,,64.7,64.75,,9.13,9.14,,71.3,肥後米,
文化11年,1814年,3月19日,曇天,,,,64.73,64.74,,9.15,9.17,,,肥後米,
文化11年,1814年,3月20日,,,,,,,,,,,,肥後米,
文化11年,1814年,3月21日,曇、折々小雨,,,,64.82,64.83,,9.14,9.16,,,「休日」,
文化11年,1814年,3月22日,曇、折々小雨,,,,64.8,64.85,,9.13,9.15,,72,肥後米,
文化11年,1814年,3月23日,晴天,,,,64.76,64.77,,9.14,9.15,,72.1,肥後米,
文化11年,1814年,3月24日,天気,,,,64.76,64.77,,9.14,9.15,,,肥後米,
文化11年,1814年,3月25日,天気,,,,64.7,64.8,,9.14,9.15,,72,肥後米,
文化11年,1814年,3月26日,,,,,64.7,64.8,,9.14,9.15,,71.2,肥後米,
文化11年,1814年,3月27日,曇天,,,,64.79,64.8,,9.16,9.17,,71,肥後米,
文化11年,1814年,3月28日,,,,,64.75,64.8,,9.17,9.19,,71.3,肥後米,
文化11年,1814年,3月29日,天気,,,,64.75,64.8,,9.15,9.17,,,「休日」,
文化11年,1814年,3月30日,天気,,,,64.75,64.8,,9.15,9.17,,,肥後米／「立会無之」,
文化11年,1814年,4月1日,天気,,,,64.75,64.8,,9.16,9.18,,,「今日も立会不申」,
文化11年,1814年,4月2日,天気,,,,64.75,64.8,,9.17,9.19,,,「立会不申」,
文化11年,1814年,4月3日,天気,,,,64.75,64.8,,9.17,9.19,,,「立会なし」,
文化11年,1814年,4月4日,天気,,,,64.75,64.8,,9.17,9.19,,,「立会なし」,
文化11年,1814年,4月5日,天気,,,,64.65,64.7,,9.18,9.2,,,肥後米／「立会なし」,
文化11年,1814年,4月6日,曇天,,,,64.65,64.7,,9.18,9.2,,71.4,肥後米,
文化11年,1814年,4月7日,曇天,大坂東町奉行所へ罷出る、江戸表へ金４４００両余・銀１５８貫目を江戸へ差下すため、為替を渡すので日限までに上納するよう仰せつけられる,,,64.7,64.72,,9.18,9.2,,71.5,肥後米,
文化11年,1814年,4月8日,雨天,大坂東町奉行所へ罷出て、昨日の為替について９０日延をもって仰せつけられるよう願う,,,64.75,,,9.17,9.19,,,「休日」,
文化11年,1814年,4月9日,天気,,,,64.7,64.75,,9.14,9.16,,70.9,肥後米,
文化11年,1814年,4月10日,天気,,,,64.75,64.8,,9.16,9.18,,71,肥後米,
文化11年,1814年,4月11日,曇天,,,,64.75,64.8,,9.16,9.18,,70.5,肥後米,
文化11年,1814年,4月12日,曇、折々小雨,,,,64.78,64.8,,9.16,9.18,,71.3,肥後米,
文化11年,1814年,4月13日,雨天、八時雷鳴,,,,64.84,64.85,,9.16,9.18,,71.6,肥後米,
文化11年,1814年,4月14日,快晴,,,,64.87,64.88,,9.16,9.18,,71.6,肥後米,
文化11年,1814年,4月15日,天気,,,,64.75,64.8,,9.15,9.17,,71.5,肥後米,
文化11年,1814年,4月16日,天気,,,,64.76,64.77,,9.16,9.18,,,「休日」,
文化11年,1814年,4月17日,天気,,,,64.7,64.75,,9.15,9.18,,,「休日」,
文化11年,1814年,4月18日,天気,,,,64.67,64.68,,9.18,9.2,,71.5,肥後米,
文化11年,1814年,4月19日,天気,,,,64.7,64.73,,9.18,9.19,,72,肥後米,
文化11年,1814年,4月20日,天気、折々曇,,,,64.7,64.75,,9.18,9.2,,71.5,肥後米,
文化11年,1814年,4月21日,曇天、折々小雨,,桑名の三崎通り中ほどより出火、家数８０軒ばかり焼失との情報（江戸屋より）,,64.73,64.75,,9.16,9.18,,71,肥後米,
文化11年,1814年,4月22日,天気,,,,64.72,64.73,,9.18,9.2,,71.3,肥後米,
文化11年,1814年,4月23日,天気,,,,64.7,64.72,,9.18,9.2,,71.3,肥後米,
文化11年,1814年,4月24日,天気,,,,64.67,64.7,,9.17,9.19,,71.5,肥後米,
文化11年,1814年,4月25日,天気,,,,64.79,64.8,,9.17,9.19,,71.3,肥後米,※廿五日　本文ニ來ル廿八日上納之積リ大判六枚買上被仰付代金壹枚ニ付貳拾兩貳分貳朱ト銀貳匁替
文化11年,1814年,4月26日,天気,,,,64.7,64.73,,9.17,9.19,,71.9,肥後米,
文化11年,1814年,4月27日,天気,,,,64.7,64.73,,9.17,9.19,,71.3,肥後米,
文化11年,1814年,4月28日,天気,,,,64.7,64.75,,9.16,9.18,,,肥後米／「昨日限」,
文化11年,1814年,4月29日,天気,,,,64.7,64.73,,9.16,9.18,,,,
文化11年,1814年,5月1日,雨天,,,,64.7,64.73,,9.16,9.18,,,,
文化11年,1814年,5月2日,快晴,,,,64.75,64.8,,9.17,9.19,,,,
文化11年,1814年,5月3日,,,,,64.75,64.8,,9.18,9.2,,,,
文化11年,1814年,5月4日,曇天、暮前より雨,,,,64.78,64.8,,9.16,9.18,,,,
文化11年,1814年,5月5日,雨天、四時過より快晴,,,,,,,,,,,,「諸相庭休」
文化11年,1814年,5月6日,天気,,,,64.75,64.8,,9.12,9.14,,,,
文化11年,1814年,5月7日,天気,,,,64.85,,,9.16,9.18,,69.3,筑前米／「内j実入九斗七升」,※七日　米相場ノ註ニ　但例年建米今日ヨリ加賀米ニ候處當年ハ登リ高不數ニ付筑前米ニ相成候由
文化11年,1814年,5月8日,曇、七時過小雨,,,,64.75,64.8,,9.15,9.18,,69,筑前米,
文化11年,1814年,5月9日,,,,,64.74,64.75,,9.14,9.15,,69.2,筑前米,
文化11年,1814年,5月10日,雨天,,,,64.7,64.8,,9.13,9.15,,69.4,筑前米,
文化11年,1814年,5月11日,天気,,,,64.76,64.78,,9.14,9.16,,69.2,筑前米,
文化11年,1814年,5月12日,天気,,,,64.75,64.8,,9.13,9.15,,69.1,筑前米,
文化11年,1814年,5月13日,天気,,,,64.75,64.8,,9.14,9.15,,69.2,筑前米,
文化11年,1814年,5月14日,天気,,,,64.75,64.8,,9.14,9.15,,69.1,筑前米,
文化11年,1814年,5月15日,天気,,,,64.75,64.8,,9.13,9.15,,69.2,筑前米,
文化11年,1814年,5月16日,曇天、風立、折々雨,,,,64.75,64.8,,9.13,9.15,,,「休日」,
文化11年,1814年,5月17日,天気,,,,64.75,64.8,,9.13,9.15,,69,筑前米,
文化11年,1814年,5月18日,天気,,,,64.75,64.8,,9.13,9.15,,69.8,筑前米,
文化11年,1814年,5月19日,天気,,,,64.75,64.8,,9.13,9.15,,71,筑前米,
文化11年,1814年,5月20日,天気,,,,64.7,64.8,,9.14,9.16,,71.9,筑前米,
文化11年,1814年,5月21日,曇天、暮前より雨,臨時銀１０００貫匁を渡されることにともない、割合書と後明書付を月番へ差上げ,,,64.7,64.8,,9.14,9.16,,70.6,筑前米,
文化11年,1814年,5月22日,曇天、暮前より雨,,,,64.7,64.75,,9.14,9.16,,70.1,筑前米,
文化11年,1814年,5月23日,天気,,,,64.7,64.75,,9.14,9.16,,70.2,筑前米,
文化11年,1814年,5月24日,天気、暑気,,,,64.73,64.75,,9.14,9.16,,70.1,筑前米,
文化11年,1814年,5月25日,天気、暑き強,,,,64.73,64.75,,9.14,9.16,,70.8,筑前米,
文化11年,1814年,5月26日,天気,,,,64.7,64.75,,9.14,9.16,,70,筑前米,
文化11年,1814年,5月27日,天気,,,,64.75,,,9.14,9.16,,69.5,筑前米,
文化11年,1814年,5月28日,天気,,八半時に地震,,64.65,64.7,,9.14,9.16,,70.1,筑前米,
文化11年,1814年,5月29日,天気,,,,64.65,64.7,,9.14,9.16,,69.5,筑前米,
文化11年,1814年,6月1日,,,,,64.7,64.73,,9.14,9.15,,,「休日」,
文化11年,1814年,6月2日,天気,,,,64.74,64.75,,9.14,9.16,,69.2,筑前米,
文化11年,1814年,6月3日,天気,,,,64.76,64.77,,9.14,9.15,,69.8,筑前米,
文化11年,1814年,6月4日,天気,,,,64.76,64.77,,9.13,9.15,,70.4,筑前米,
文化11年,1814年,6月5日,天気,,,,64.75,64.8,,9.14,9.16,,70,筑前米,
文化11年,1814年,6月6日,,,,,64.75,64.8,,9.15,9.17,,,筑前米,
文化11年,1814年,6月7日,,日光御宮の修復手伝に松平陸奥守などが命じられるとの情報（江戸飛脚より）,,,64.8,64.85,,9.14,9.16,,,筑前米／「休日」,
文化11年,1814年,6月8日,天気,,,,64.79,64.8,,9.13,9.15,,70.4,筑前米,
文化11年,1814年,6月9日,天気,,,,64.79,64.8,,9.13,9.15,,70.7,筑前米,
文化11年,1814年,6月10日,天気,,,,64.78,64.8,,9.15,9.16,,69.5,筑前米,
文化11年,1814年,6月11日,天気,,,,64.78,64.8,,9.15,9.16,,69.6,筑前米,
文化11年,1814年,6月12日,天気,,,,64.78,64.8,,9.15,9.16,,69.8,筑前米,
文化11年,1814年,6月13日,天気,,,,64.78,64.8,,9.15,9.16,,,筑前米,
文化11年,1814年,6月14日,天気、暮時雷鳴,臨時銀５００貫匁を渡されることにともない、割合書と後明書付を月番へ差上げ,,,64.81,64.82,,9.15,9.16,,70.3,筑前米,
文化11年,1814年,6月15日,晴天,,,,64.81,64.82,,9.15,9.16,,69.4,筑前米,
文化11年,1814年,6月16日,天気,,,,64.78,64.8,,9.14,9.16,,,「休日」,
文化11年,1814年,6月17日,雨天、八つ時快晴、風立,,,,64.78,64.8,,9.14,9.16,,,「休日」,
文化11年,1814年,6月18日,天気,,,,64.75,64.8,,9.14,9.15,,69.4,筑前米,
文化11年,1814年,6月19日,曇天、風立、折々小雨、暮過強雨,,,,64.7,64.8,,9.14,9.16,,69.2,筑前米,
文化11年,1814年,6月20日,曇天、冷気催,,,,64.74,64.75,,9.14,9.15,,69,筑前米,
文化11年,1814年,6月21日,曇天,,,,64.7,64.8,,9.14,9.16,,69.7,筑前米,
文化11年,1814年,6月22日,天気,,,,,,,,,,,,「座摩神事に付諸相庭休日」
文化11年,1814年,6月23日,曇天、未明雨,,,,64.7,64.8,,9.14,9.16,,,筑前米,
文化11年,1814年,6月24日,天気,,,,64.72,64.73,,9.14,9.16,,,筑前米／「休日」,
文化11年,1814年,6月25日,天気,,,,64.5,64.7,,9.14,9.16,,,筑前米／「休日」,
文化11年,1814年,6月26日,天気,,,,64.6,64.65,,9.14,9.16,,69.3,筑前米,
文化11年,1814年,6月27日,天気,,,,64.7,64.73,,9.14,9.15,,69.2,筑前米,
文化11年,1814年,6月28日,天気,,,,64.71,64.72,,9.14,9.15,,69.3,筑前米,
文化11年,1814年,6月29日,天気,,,,64.7,64.75,,9.13,9.14,,,筑前米／「休日」,
文化11年,1814年,7月1日,天気,,,,64.72,64.73,,9.13,9.15,,68.8,筑前米,
文化11年,1814年,7月2日,天気,,,,64.74,64.75,,9.14,9.16,,66.6,筑前米,
文化11年,1814年,7月3日,天気,臨時銀５００貫匁を渡されることにともない、割合書と後明書付を月番へ差上げ,,,64.72,64.73,,9.14,9.15,,66.9,筑前米,
文化11年,1814年,7月4日,天気,,,,64.72,64.73,,9.15,9.17,,67,筑前米,
文化11年,1814年,7月5日,天気,,,,64.7,64.75,,9.16,9.17,,67.1,筑前米,
文化11年,1814年,7月6日,天気,,,,64.7,64.75,,9.15,9.16,,67.5,筑前米／「盆前今日限」,
文化11年,1814年,7月7日,天気、残暑強,,,,64.7,64.75,,9.17,9.19,,,,
文化11年,1814年,7月8日,天気,,,,64.8,,,9.16,9.18,,,,
文化11年,1814年,7月9日,天気、八つ時雷鳴、白雨,,,,64.8,,,9.14,9.15,,,,
文化11年,1814年,7月10日,天気、七つ時白雨,,,,64.8,64.85,,9.13,9.15,,,,
文化11年,1814年,7月11日,曇天、八時頃雨,,,,64.8,64.85,,9.14,9.16,,,,
文化11年,1814年,7月12日,今暁大白雨、明六つ時より曇天、八つ時頃より折々白雨、暮時快晴,,,,64.82,64.83,,9.14,9.16,,,,
文化11年,1814年,7月13日,天気,,,,64.6,64.8,,9.15,9.16,,,,
文化11年,1814年,7月14日,雨天,,,,64.7,64.8,,9.15,9.16,,,,
文化11年,1814年,7月15日,雨天,,,,,,,,,,,,「諸相庭休日」
文化11年,1814年,7月16日,天気,,,,,,,,,,,,「諸相庭休日」
文化11年,1814年,7月17日,天気,,,,64.67,64.68,,9.09,9.1,,66.7,筑前米,
文化11年,1814年,7月18日,曇天、折々雨,,,,64.7,64.75,,9.09,9.1,,69,筑前米,
文化11年,1814年,7月19日,雨天、朝雷鳴す,,,,64.66,64.68,,9.09,9.1,,67.6,筑前米,
文化11年,1814年,7月20日,曇、折々雨,,,,64.6,64.65,,9.09,9.1,,,「休日」,
文化11年,1814年,7月21日,快晴,,,,64.6,64.63,,9.08,9.1,,67.3,筑前米,※廿一日　本文ニ明後廿三日上納之積リ大判壹枚買上被仰付代金壹枚ニ付貳拾兩貳分貳朱ト銀壹匁替
文化11年,1814年,7月22日,雨天,,,,64.6,64.63,,9.08,9.1,,66.5,筑前米,
文化11年,1814年,7月23日,天気,,,,64.6,64.65,,9.09,9.1,,67.3,筑前米,
文化11年,1814年,7月24日,天気,,,,64.66,64.67,,9.1,9.15,,,「休日」,
文化11年,1814年,7月25日,天気,,,,64.65,64.7,,9.08,9.1,,67.4,筑前米,
文化11年,1814年,7月26日,曇、折々雨、初夜過雷鳴,,,,64.64,64.65,,9.08,9.1,,67.1,筑前米,
文化11年,1814年,7月27日,雨天,,,,64.65,64.66,,9.08,9.1,,67.2,筑前米,
文化11年,1814年,7月28日,天気,,,,64.65,,,9.08,9.1,,66.7,筑前米,
文化11年,1814年,7月29日,曇天,,,,64.65,64.67,,9.06,9.08,,66.1,筑前米,
文化11年,1814年,7月30日,天気、折々曇,,,,64.66,64.67,,9.06,9.08,,66.1,筑前米,
文化11年,1814年,8月1日,天気,,,,,,,,,,,,「諸相庭休日」
文化11年,1814年,8月2日,天気,,,,64.7,64.75,,9.05,9.07,,,「休日」,
文化11年,1814年,8月3日,天気,,,,64.7,64.75,,9.05,9.07,,65.2,筑前米,
文化11年,1814年,8月4日,曇、折々雨,,,,64.73,64.75,,9.06,9.09,,65.2,筑前米,
文化11年,1814年,8月5日,雨天,,,,64.7,64.75,,9.1,9.12,,65.6,筑前米,
文化11年,1814年,8月6日,雨天,,,,64.72,,,9.09,,,65.4,筑前米,
文化11年,1814年,8月7日,雨天,,,,64.7,64.75,,9.1,,,65.4,筑前米,
文化11年,1814年,8月8日,快晴,,,,64.73,64.74,,9.08,9.1,,,「休日」,
文化11年,1814年,8月9日,天気,,,,64.73,64.74,,9.08,9.1,,64.1,筑前米,
文化11年,1814年,8月10日,天気,,,,64.75,64.8,,9.1,9.12,,64.8,筑前米,
文化11年,1814年,8月11日,雨天,,,,64.8,64.85,,9.15,9.2,,,「休日」,
文化11年,1814年,8月12日,曇天,,,,64.88,64.9,,9.14,9.16,,63.7,筑前米,
文化11年,1814年,8月13日,天気,,,,64.9,64.95,,9.1,9.15,,63.2,筑前米,
文化11年,1814年,8月14日,天気、秋暑,,,,64.88,64.9,,9.14,9.15,,62.8,筑前米,
文化11年,1814年,8月15日,曇天、折々雨、暮後晴光,,,,64.8,64.85,,9.13,9.15,,,「休日」,
文化11年,1814年,8月16日,天気,,,,64.8,64.85,,9.14,9.16,,,「休日」,
文化11年,1814年,8月17日,天気,,,,64.8,64.83,,9.14,9.16,,63.5,筑前米,
文化11年,1814年,8月18日,天気,,,,64.8,64.85,,9.14,9.16,,63,筑前米,
文化11年,1814年,8月19日,天気,,,,64.8,64.85,,9.14,9.16,,63.2,筑前米,
文化11年,1814年,8月20日,天気,,,,64.91,64.92,,9.13,9.15,,63.4,筑前米,
文化11年,1814年,8月21日,天気,,,,64.9,65,,9.15,9.17,,63.9,筑前米,
文化11年,1814年,8月22日,天気,,,,64.95,65,,9.16,9.18,,64.4,筑前米,
文化11年,1814年,8月23日,雨天,,,,65,65.05,,9.15,9.17,,64.4,筑前米,
文化11年,1814年,8月24日,天気,,,,65,65.1,,9.15,9.2,,63.7,筑前米,
文化11年,1814年,8月25日,曇天、八つ時過雨,,,,64.95,65,,9.16,9.18,,63.4,筑前米,
文化11年,1814年,8月26日,曇、昼後より天気,,,,64.95,65,,9.16,9.18,,64,筑前米,
文化11年,1814年,8月27日,天気,,,,64.95,65,,9.17,9.19,,64.1,筑前米,
文化11年,1814年,8月28日,天気,,,,64.94,64.95,,9.17,9.18,,64.2,筑前米,
文化11年,1814年,8月29日,天気、折々曇,,,,64.9,65,,9.16,9.18,,64,筑前米,
文化11年,1814年,9月1日,天気,,,,64.95,65,,9.16,9.18,,63.8,筑前米,
文化11年,1814年,9月2日,曇、八つ過より雨,,,,64.9,64.95,,9.16,9.17,,64.5,筑前米,
文化11年,1814年,9月3日,雨天,,,,64.9,65,,9.15,9.18,,64.7,筑前米,
文化11年,1814年,9月4日,天気,徳川竹千代が８月２６日に逝去、今日より１３日まで鳴物停止,,,64.91,64.92,,9.16,9.17,,,「節前休」,
文化11年,1814年,9月5日,天気,,,,64.9,65,,9.15,9.17,,,,
文化11年,1814年,9月6日,天気,,,,64.9,65,,9.13,,,,,
文化11年,1814年,9月7日,天気,,,,64.94,64.95,,9.13,9.15,,,,
文化11年,1814年,9月8日,天気,,,,64.9,65,,9.12,9.13,,,,
文化11年,1814年,9月9日,天気,,,,,,,,,,,,「諸相庭休日」
文化11年,1814年,9月10日,曇天,,,,64.97,64.98,,9.12,9.13,,,,
文化11年,1814年,9月11日,雨天、八つ時より晴,,,,64.97,64.98,,9.12,9.13,,63.9,筑前米,
文化11年,1814年,9月12日,天気,,,,65,65.05,,9.08,9.1,,64.5,筑前米,
文化11年,1814年,9月13日,曇天,,,,65.03,65.04,,9.08,9.1,,,「休日」,
文化11年,1814年,9月14日,,,,,65.03,65.04,,9.08,9.1,,64.9,筑前米,
文化11年,1814年,9月15日,天気,,,,65.03,65.04,,9.08,9.1,,64.9,筑前米,
文化11年,1814年,9月16日,天気,,,,65.03,65.04,,9.08,9.1,,,筑前米／「休日」,
文化11年,1814年,9月17日,天気,,,,65.08,65.1,,9.1,,,65.1,筑前米,
文化11年,1814年,9月18日,天気,,,,65.06,65.07,,9.1,9.12,,64.7,筑前米,
文化11年,1814年,9月19日,天気,,,,65.06,65.07,,9.1,9.12,,64.4,筑前米,
文化11年,1814年,9月20日,曇天、暮過より雨,,,,65,65.05,,9.1,9.12,,64.1,筑前米,
文化11年,1814年,9月21日,天気,,,,65,65.05,,9.1,,,64,筑前米,
文化11年,1814年,9月22日,天気,,,,65.1,,,9.08,9.1,,,「休日」,
文化11年,1814年,9月23日,曇、折々雨,,,,65,65.03,,9.1,,,63.8,筑前米,
文化11年,1814年,9月24日,快晴,,,,64.92,65,,9.08,9.1,,63.8,筑前米,
文化11年,1814年,9月25日,天気,,,,64.8,65,,9.09,9.1,,,「休日」,
文化11年,1814年,9月26日,天気,,,,64.85,64.9,,9.12,9.13,,64,筑前米,
文化11年,1814年,9月27日,曇、折々小雨,,,,64.8,64.85,,9.12,9.13,,,筑前米／「休日」,
文化11年,1814年,9月28日,天気,,,,64.75,64.8,,9.05,9.07,,64.4,筑前米,
文化11年,1814年,9月29日,曇、折々小雨,,,,64.65,64.7,,9.04,9.05,,64.4,筑前米,
文化11年,1814年,9月30日,天気,,,,64.67,64.68,,9.03,9.04,,63.9,筑前米,
文化11年,1814年,10月1日,雨天,,,,64.7,64.8,,9.03,9.05,,63.9,筑前米,
文化11年,1814年,10月2日,快晴,,,,64.8,65,,9.03,9.05,,63.9,筑前米,
文化11年,1814年,10月3日,雨天,,,,64.87,64.88,,9.04,9.06,,,筑前米／「休日」,
文化11年,1814年,10月4日,快晴,,,,64.8,64.9,,9.04,9.05,,64,筑前米,
文化11年,1814年,10月5日,天気,,,,64.83,64.85,,9.02,9.03,,63.8,筑前米,
文化11年,1814年,10月6日,天気,,,,64.83,64.85,,9.06,9.07,,,「休日」,
文化11年,1814年,10月7日,天気,,,,64.85,64.9,,9.05,,,64.3,筑前米,
文化11年,1814年,10月8日,曇天、折々雨,,,,64.9,64.95,,9.05,9.06,,63.9,筑前米,
文化11年,1814年,10月9日,曇天、折々小雨、風立、七つ過霰,,,,64.8,64.9,,9.09,9.1,,,「建替に付昨日限」,※九日　本文ニ　來ル十二日上納之積大判六枚買上被仰付代金壹枚ニ付金貳拾兩貳分貳朱銀貳匁替
文化11年,1814年,10月10日,天気、折々曇,,,,64.9,64.92,,9.03,9.04,,,,
文化11年,1814年,10月11日,天気、寒冷,,暮六つ時に地震,,64.92,64.93,,9.02,9.03,,,,
文化11年,1814年,10月12日,天気,,,,64.88,64.9,,9,9.03～9.04,,,,
文化11年,1814年,10月13日,天気,,,,64.83,64.85,,9.02,,,,,
文化11年,1814年,10月14日,曇天,,,,64.7,64.8,,9,9.02,,,,
文化11年,1814年,10月15日,快晴,,,,64.7,64.75,,9,9.05,,,,
文化11年,1814年,10月16日,天気、折々曇、暮より風雨,,,,64.74,64.75,,9,9.03,,,,
文化11年,1814年,10月17日,曇天,,,,64.73,64.74,,9,9.02,,77.1,肥後米／「今日より建替る内実石四五升」,
文化11年,1814年,10月18日,天気,,,,64.72,64.74,,9.02,9.03,,65,肥後米,
文化11年,1814年,10月19日,天気,,,,64.76,64.78,,9,9.05,,65,肥後米,
文化11年,1814年,10月20日,曇天,,,,64.7,64.8,,9.04,9.05,,,「休日」,
文化11年,1814年,10月21日,曇天,,,,64.77,64.79,,9.05,9.07,,61.8,肥後米,
文化11年,1814年,10月22日,曇天,,,,64.78,64.8,,9.04,9.05,,61.8,肥後米,
文化11年,1814年,10月23日,雨天,,,,64.77,64.79,,9.04,9.06,,61.7,肥後米,
文化11年,1814年,10月24日,快晴,,,,64.75,64.76,,9.05,9.07,,62.4,肥後米,
文化11年,1814年,10月25日,天気、八つ時頃より曇,,,,64.7,64.72,,9.05,9.07,,62.2,肥後米,
文化11年,1814年,10月26日,天気,,,,64.75,64.8,,9.05,9.06,,61.2,肥後米,
文化11年,1814年,10月27日,天気、風強、寒,,,,64.7,64.75,,9.05,9.06,,61.8,肥後米,
文化11年,1814年,10月28日,天気,,,,64.68,64.7,,9.04,9.06,,62,肥後米,
文化11年,1814年,10月29日,天気,,,,64.7,64.73,,9.04,9.06,,62.2,肥後米,
文化11年,1814年,10月30日,天気,,,,64.74,64.75,,9.04,9.05,,,,
文化11年,1814年,11月1日,天気,,,,64.72,64.73,,9,9.05,,62.3,肥後米,
文化11年,1814年,11月2日,天気,,,,64.7,64.8,,9,9.05,,62,肥後米,
文化11年,1814年,11月3日,天気,,,,64.75,64.8,,9,9.03,,62.3,肥後米,
文化11年,1814年,11月4日,天気,,,,64.73,64.75,,9.04,9.06,,62,肥後米,
文化11年,1814年,11月5日,曇天、七つ時より雨,,,,64.85,64.86,,9.03,9.05,,62.1,肥後米,
文化11年,1814年,11月6日,雨天,,,,64.8,64.85,,9,9.05,,62,肥後米,
文化11年,1814年,11月7日,雨天,,,,64.85,64.9,,9.03,9.05,,62.3,肥後米,
文化11年,1814年,11月8日,曇天,,,,64.84,64.85,,9.02,9.03,,,「休日」,
文化11年,1814年,11月9日,天気,,,,64.9,65,,9.02,9.04,,62.4,肥後米,
文化11年,1814年,11月10日,曇天,,,,64.9,64.95,,9,9.05,,63.8,肥後米,
